ULW,Material,Optik,Schale,Hoehe,Daemmung,Luefterrahmen_Variante,Lichtkuppel_Preis_EUR,Aufsatzkranz_Preis_EUR,Luefterrahmen_Preis_EUR,Zusatzkosten_EUR,Total_EUR
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,20 mm,manuell offenbar (Spindel),186.3,216.6,235.8,52.5,691.20
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,40 mm,keine,186.3,300.36,,,486.66
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,40 mm,festverglast (nicht zu öffnen),186.3,300.36,0,0,486.66
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,40 mm,manuell offenbar (Spindel),186.3,300.36,235.8,52.5,774.96
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,50 mm,keine,186.3,303.24,,,489.54
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,50 mm,festverglast (nicht zu öffnen),186.3,303.24,0,0,489.54
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,50 mm,manuell offenbar (Spindel),186.3,303.24,235.8,52.5,777.84
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,60 mm,keine,186.3,306.84,,,493.14
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,60 mm,festverglast (nicht zu öffnen),186.3,306.84,0,0,493.14
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,60 mm,manuell offenbar (Spindel),186.3,306.84,235.8,52.5,781.44
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,80 mm,keine,186.3,310.2,,,496.50
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,80 mm,festverglast (nicht zu öffnen),186.3,310.2,0,0,496.50
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,80 mm,manuell offenbar (Spindel),186.3,310.2,235.8,52.5,784.80
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,100 mm,keine,186.3,315.48,,,501.78
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,100 mm,festverglast (nicht zu öffnen),186.3,315.48,0,0,501.78
60,Acryl (Standard),klar (transparent),2-schalig,30 cm,100 mm,manuell offenbar (Spindel),186.3,315.48,235.8,52.5,790.08
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,20 mm,keine,186.3,318.3,,,504.60
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,20 mm,festverglast (nicht zu öffnen),186.3,318.3,0,0,504.60
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,20 mm,manuell offenbar (Spindel),186.3,318.3,235.8,52.5,792.90
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,40 mm,keine,186.3,438.78,,,625.08
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,40 mm,festverglast (nicht zu öffnen),186.3,438.78,0,0,625.08
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,40 mm,manuell offenbar (Spindel),186.3,438.78,235.8,52.5,913.38
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,50 mm,keine,186.3,442.14,,,628.44
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,50 mm,festverglast (nicht zu öffnen),186.3,442.14,0,0,628.44
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,50 mm,manuell offenbar (Spindel),186.3,442.14,235.8,52.5,916.74
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,60 mm,keine,186.3,445.98,,,632.28
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,60 mm,festverglast (nicht zu öffnen),186.3,445.98,0,0,632.28
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,60 mm,manuell offenbar (Spindel),186.3,445.98,235.8,52.5,920.58
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,80 mm,keine,186.3,450.3,,,636.60
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,80 mm,festverglast (nicht zu öffnen),186.3,450.3,0,0,636.60
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,80 mm,manuell offenbar (Spindel),186.3,450.3,235.8,52.5,924.90
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,100 mm,keine,186.3,458.94,,,645.24
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,100 mm,festverglast (nicht zu öffnen),186.3,458.94,0,0,645.24
60,Acryl (Standard),klar (transparent),2-schalig,50 cm,100 mm,manuell offenbar (Spindel),186.3,458.94,235.8,52.5,933.54
60,Acryl (Standard),klar (transparent),3-schalig,15 cm,20 mm,keine,252.6,164.7,,,417.30
60,Acryl (Standard),klar (transparent),3-schalig,15 cm,20 mm,festverglast (nicht zu öffnen),252.6,164.7,0,0,417.30
60,Acryl (Standard),klar (transparent),3-schalig,15 cm,20 mm,manuell offenbar (Spindel),252.6,164.7,235.8,52.5,705.60
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,20 mm,keine,252.6,216.6,,,469.20
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,20 mm,festverglast (nicht zu öffnen),252.6,216.6,0,0,469.20
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,20 mm,manuell offenbar (Spindel),252.6,216.6,235.8,52.5,757.50
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,40 mm,keine,252.6,300.36,,,552.96
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,40 mm,festverglast (nicht zu öffnen),252.6,300.36,0,0,552.96
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,40 mm,manuell offenbar (Spindel),252.6,300.36,235.8,52.5,841.26
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,50 mm,keine,252.6,303.24,,,555.84
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,50 mm,festverglast (nicht zu öffnen),252.6,303.24,0,0,555.84
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,50 mm,manuell offenbar (Spindel),252.6,303.24,235.8,52.5,844.14
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,60 mm,keine,252.6,306.84,,,559.44
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,60 mm,festverglast (nicht zu öffnen),252.6,306.84,0,0,559.44
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,60 mm,manuell offenbar (Spindel),252.6,306.84,235.8,52.5,847.74
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,80 mm,keine,252.6,310.2,,,562.80
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,80 mm,festverglast (nicht zu öffnen),252.6,310.2,0,0,562.80
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,80 mm,manuell offenbar (Spindel),252.6,310.2,235.8,52.5,851.10
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,100 mm,keine,252.6,315.48,,,568.08
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,100 mm,festverglast (nicht zu öffnen),252.6,315.48,0,0,568.08
60,Acryl (Standard),klar (transparent),3-schalig,30 cm,100 mm,manuell offenbar (Spindel),252.6,315.48,235.8,52.5,856.38
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,20 mm,keine,252.6,318.3,,,570.90
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,20 mm,festverglast (nicht zu öffnen),252.6,318.3,0,0,570.90
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,20 mm,manuell offenbar (Spindel),252.6,318.3,235.8,52.5,859.20
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,40 mm,keine,252.6,438.78,,,691.38
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,40 mm,festverglast (nicht zu öffnen),252.6,438.78,0,0,691.38
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,40 mm,manuell offenbar (Spindel),252.6,438.78,235.8,52.5,979.68
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,50 mm,keine,252.6,442.14,,,694.74
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,50 mm,festverglast (nicht zu öffnen),252.6,442.14,0,0,694.74
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,50 mm,manuell offenbar (Spindel),252.6,442.14,235.8,52.5,983.04
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,60 mm,keine,252.6,445.98,,,698.58
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,60 mm,festverglast (nicht zu öffnen),252.6,445.98,0,0,698.58
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,60 mm,manuell offenbar (Spindel),252.6,445.98,235.8,52.5,986.88
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,80 mm,keine,252.6,450.3,,,702.90
60,Acryl (Standard),klar (transparent),3-schalig,50 cm,80 mm,festverglast (nicht zu öffnen),252.6,450.3,0,0,702.90
